"ID","Deactivate","Character_ID","Action_ID","Call_Script","If_Expression","Target_Character","Target_Scene","Target_ObjGroup","Target_Object","Walk_Scene","Walk_Colour","Hover_Text","Dialogue_Speaker","Dialogue_Emotion","Dialogue_Duration","Dialogue_Line","Set_Column","Set_Tab","Set_Value","Filter_Column","Filter_Value","Remove_Target","Add_To_Inventory","Refresh","Wait_Seconds"
"DEFAULT",0,,,,,,,,,,,,"narrator","none",100%,,,,,"ID",,0,0,0,0
"DEFAULT-look-treehouse",,"DEFAULT","look",,,,"treehouse",,,,,,,,,"I should probably clean up a little... some day.",,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
"--",,,,,,,,,,,,,,,,,,,,,,,,,
