ID,Group,Unique,Label,Scene_ID,Visible,Actionable,Image_Path,Image_Filename,Image_Extension,Screen_X,Screen_Y,Base_X,Base_Y,Walk_Point_X,Walk_Point_Y,Zoom,Rotation,Flip_H,Flip_V,Inventory_Path,Inventory_Filename,Inventory_Extension
DEFAULT,,,,,1,1,images/objects/,unknown,.png,0.0%,0.0%,0%,0%,0.0%,40.0%,100%,0,0,0,images/objects/,unknown,-inv.png
boards,,,Loose Boards,dual,,,,loose-boards,,,,,,35.0%,,,,,,,,
hole,,,Broken Boards,dual,0,,,broken-boards,,,,,,35.0%,,,,,,,,
mirror,,,Mirror,dual,,,,mirror,,,,,,85.0%,80.0%,,,,,,mirror,
mirror_moved,,,Mirror,dual,0,,,mirror-moved,,,,,,10.0%,80.0%,,,,,,,
window,,,Window,dual,0,,,window,,,,,,90.0%,,,,,,,,
sunbeam1,,,,dual,1,0,,sunbeam1,,,,,,,,,,,,,,
sunbeam2,,,Sunbeam,dual,0,1,,sunbeam2,,,,,,20.0%,80.0%,,,,,,,
sunbeam3,,,,dual,0,0,,sunbeam3,,,,,,,,,,,,,,
sun_artifact,,,Artifact,dual,1,,,sun-artifact,,,,,,90.0%,80.0%,,,,,,,
key1,,,Key,dual,0,,,key1,,,,,,,,,,,,,key1,
pot,,,Pot,dual,,,,pot,,,,,,60.0%,80.0%,,,,,,,
apple,,,Apple,dual,,,,apple,,,,,,35.0%,80.0%,,,,,,seed,
chest,,,Chest,dual,,,,chest,,,,,,,,,,,,,,
mouse,,,Mouse,dual,,,,mouse,,,,,,85.0%,,,,,,,,
froot,,,Fruit,dual,0,,,froot,,,,,,60.0%,,,,,,,froot,
tree,,,Tree,dual,0,,,tree,,,,,,60.0%,,,,,,,,
key2,,,Key,dual,0,,,key2,,,,,,,,,,,,,key2,
door1,,,Door,dual,,,,door1,,,,,,5.0%,40.0%,,,,,,,
door2,,,Door,dual,,,,door2,,,,,,5.0%,80.0%,,,,,,,
skeletons,,,Skeleton,dual,,,,skeletons,,,,,,,80.0%,,,,,,,
telescope,,,Telescope,dual,,,,telescope,,,,,,,80.0%,,,,,,,
supplies,,,Bag,dual,,,,supplies,,,,,,,80.0%,,,,,,,
sticks,,,Bundles,dual,,,,sticks,,,,,,,80.0%,,,,,,,
weird_jars,,,Weird Jars,dual,,,,jars_weird,,,,,,,80.0%,,,,,,,
fishing_jars,,,Curious Jars,dual,,,,jars_fishing,,,,,,,80.0%,,,,,,,
food_jars,,,Mysterious Jars,dual,,,,jars_food,,,,,,,80.0%,,,,,,,
bone,,,Bone,dual,,,,bone,,,,,,,80.0%,,,,,,,
scrolls,,,Scrolls,dual,,,,scrolls,,,,,,,80.0%,,,,,,,
golem,,,Golem,dual,,,,golem,,,,,,,80.0%,,,,,,,
bottles,,,Bottles,dual,,,,bottles,,,,,,,80.0%,,,,,,,
map,,,Map,dual,,,,map,,,,,,,80.0%,,,,,,,
skull,,,Skull,dual,,,,skull,,,,,,,80.0%,,,,,,,
elephant,,,Painting,dual,,,,elephant,,,,,,,,,,,,,key1,
herbs,,,Herbs,dual,,,,herbs,,,,,,,,,,,,,key1,
mop,,,Mop,dual,,,,mop,,,,,,,,,,,,,,
geodes,,,Geodes,dual,,,,geodes,,,,,,,,,,,,,,
face,,,Face Jar,dual,,,,face,,,,,,,,,,,,,,
books,,,Books,dual,,,,books,,,,,,,,,,,,,,
cartridge,,,Game Cartridge,dual,,,,cartridge,,,,,,,,,,,,,,
constellation,,,Painting,dual,,,,constellation,,,,,,,,,,,,,,
wing,,,Monster Jars,dual,,,,wing,,,,,,,,,,,,,,
sofa,,,Sofa,dual,,,,sofa,,,,,,,,,,,,,,
wine_bread,,,Wine and Bread,dual,,,,wine_bread,,,,,,,,,,,,,,
staff,,,Staff,dual,,,,staff,,,,,,,,,,,,,,
fish,,,Fish Jar,dual,,,,fish,,,,,,,,,,,,,,
