"Set_Tab","Set_Column","Set_Value","Filter_Column","Filter_Value"
"characters","Scene_ID","flying","ID","bird"
"characters","Scene_ID","unknown","ID","bird"
"characters","Scene_ID","fuzzy","ID","bird"
"characters","Animation_Current","idle","ID","bird"
"characters","Scene_ID","dual","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Screen_X","35%","ID","fish"
"characters","Screen_Y","96.666667%","ID","fish"
"objects","Label","Seed","ID","apple"
"objects","Visible","0","ID","apple"
"objects","Visible","0","ID","apple"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"variables","Value","1","ID","seedState"
"characters","Screen_X","70%","ID","fish"
"characters","Screen_Y","97.999997%","ID","fish"
"objects","Visible","1","ID","tree"
"objects","Visible","1","ID","froot"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
