"Set_Tab","Set_Column","Set_Value","Filter_Column","Filter_Value"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Screen_X","35%","ID","fish"
"characters","Screen_Y","96.666667%","ID","fish"
"objects","Visible","0","ID","apple"
"objects","Visible","0","ID","apple"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","fish"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
"characters","Current","1","ID","bird"
