ID,Character,Name,Path,Filename,Extension,Frames,Frame_Duration
DEFAULT,,idle,images/characters/,empty,.png,1,0.2
"lindsay","lindsay","idle","images/characters/","lindsay_idle",".png","1","0.2","9"
"lindsay-idle_n","lindsay","idle_n","images/characters/","lindsay_idle_n",".png","1","0.2","9"
"lindsay-sit","lindsay","sit","images/characters/","lindsay_sit",".png","1","0.2","9"
"lindsay-n","lindsay","n","images/characters/","lindsay_n",".png","8","0.2","9"
"lindsay-e","lindsay","e","images/characters/","lindsay_e",".png","8","0.2","9"
"lindsay-w","lindsay","w","images/characters/","lindsay_w",".png","8","0.2","9"
"lindsay-s","lindsay","s","images/characters/","lindsay_s",".png","8","0.2","9"
"fire","fire","idle","images/objects/","campfire_sprite",".png","8","0.2","9"
"queen","queen","idle","images/characters/","queen",".png","9","0.2","9"
"sarah","sarah","idle","images/characters/","sarah_idle",".png","1","0.2","9"
"sarah-idle_n","sarah","idle_n","images/characters/","sarah_idle_n",".png","1","0.2","9"
"sarah-sit","sarah","sit","images/characters/","sarah_sit",".png","1","0.2","9"
"sarah-n","sarah","n","images/characters/","sarah_n",".png","8","0.2","9"
"sarah-e","sarah","e","images/characters/","sarah_e",".png","8","0.2","9"
"sarah-w","sarah","w","images/characters/","sarah_w",".png","8","0.2","9"
"sarah-s","sarah","s","images/characters/","sarah_s",".png","8","0.2","9"
"johnny","johnny","idle","images/characters/","johnny_idle",".png","1","0.2","9"
"johnny-idle_n","johnny","idle_n","images/characters/","johnny_idle_n",".png","1","0.2","9"
"johnny-sit","johnny","sit","images/characters/","johnny_sit",".png","1","0.2","9"
"johnny-n","johnny","n","images/characters/","johnny_n",".png","8","0.2","9"
"johnny-e","johnny","e","images/characters/","johnny_e",".png","8","0.2","9"
"johnny-w","johnny","w","images/characters/","johnny_w",".png","8","0.2","9"
"johnny-s","johnny","s","images/characters/","johnny_s",".png","8","0.2","9"
