ID,Group,Unique,Label,Scene_ID,Visible,Actionable,Image_Path,Image_Filename,Image_Extension,Screen_X,Screen_Y,Base_X,Base_Y,Walk_Point_X,Walk_Point_Y,Zoom,Rotation,Flip_H,Flip_V,Inventory_Path,Inventory_Filename,Inventory_Extension
DEFAULT,,,,,1,1,images/objects/,unknown,.png,50.0%,50.0%,50%,95%,0.0%,0.0%,100%,0,0,0,images/objects/,unknown,_inv.png
"stick-01","stick","01","Stick","forest-03","0","1","images/objects/","stick",".png","25.0%","83.0%","50%","95%","0.0%","0.0%","95%","0","1","0","images/objects/","unknown","_inv.png","6"
"stick-02","stick","02","Stick","forest-03","0","1","images/objects/","stick",".png","67.0%","90.0%","50%","95%","0.0%","0.0%","80%","-10","0","0","images/objects/","unknown","_inv.png","6"
"stick-03","stick","03","Stick","forest-04","0","1","images/objects/","stick",".png","35.0%","78.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
"stick-04","stick","04","Stick","forest-04","0","1","images/objects/","stick",".png","60.0%","82.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
"stick-05","stick","05","Stick","forest-05","1","1","images/objects/","stick",".png","30.0%","95.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
"stick-06","stick","06","Stick","forest-05","0","1","images/objects/","stick",".png","45.0%","80.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
"stick-07","stick","07","Stick","forest-05","0","1","images/objects/","stick",".png","90.0%","85.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
"stick-08","stick","08","Stick","forest-06","1","1","images/objects/","stick",".png","30.0%","85.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
"stick-09","stick","09","Stick","forest-06","1","1","images/objects/","stick",".png","50.0%","75.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
"stick-10","stick","10","Stick","forest-07","1","1","images/objects/","stick",".png","25.0%","80.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
"stick-11","stick","11","Stick","forest-07","1","1","images/objects/","stick",".png","40.0%","90.0%","50%","95%","0.0%","0.0%","100%","0","0","0","images/objects/","unknown","_inv.png","6"
